Course Name,University / Industry Partner Name,Difficulty Level,Course Rating,Course URL,Course Description,all_skill
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,Intermediate,4.6,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,"From the course: ""The best way to prepare for the exam is to be competent in the skills required of the job.""\n\nThis course uses a top-down approach to recognize knowledge and skills already known, and to surface information and skill areas for additional preparation. You can use this course to help create your own custom preparation plan. It helps you distinguish what you know from what you don't know. And it helps you develop and practice skills required of practitioners who perform this job.\n\nThe course follows the organization of the Exam Guide outline, presenting highest-level concepts, ""touchstones"", for you to determine whether you feel confident about your knowledge of that area and its dependent concepts, or if you want more study. You also will learn about and have the opportunity to practice key job skills, including cognitive skills such as case analysis, identifying technical watchpoints, and developing proposed solutions. These are job skills that are also exam skills. You will also test your basic abilities with Activity Tracking Challenge Labs. And you will have many sample questions similar to those on the exam, including solutions. The end of the course contains an ungraded practice exam quiz, followed by a graded practice exam quiz that simulates the exam-taking experience.\n\nNew! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud\nEnroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits; \n\n=> Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching \n=> 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",mathematical optimization  case study  penetration test  analysis  Cloud Computing  DevOps  Cloud Platforms  architecture  Google Cloud Platform  business requirements information-technology cloud-computing
Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I),Johns Hopkins University,Beginner,4.8,https://www.coursera.org/learn/patient-safety-systems-view,"In this course, you will be able develop a systems view for patient safety and quality improvement in healthcare.  By then end of this course, you will be able to: 1) Describe a minimum of four key events in the history of patient safety and quality improvement, 2) define the key characteristics of high reliability organizations, and 3) explain the benefits of having strategies for both proactive and reactive systems thinking.",systems thinking  Patient Care  patient  thought  safety  safety culture  patient safety  proactivity  Culture  Problem Solving life-sciences healthcare-management
Material Processing,Georgia Institute of Technology,Intermediate,4.8,https://www.coursera.org/learn/material-science-engineering,"Have you ever wondered why ceramics are hard and brittle while metals tend to be ductile?  Why some materials conduct heat or electricity while others are insulators?  Why adding just a small amount of carbon to iron results in an alloy that is so much stronger than the base metal?  In this course, you will learn how a material�s properties are determined by the microstructure of the material, which is in turn determined by composition and the processing that the material has undergone.\n\nThis is the second of three Coursera courses that mirror the Introduction to Materials Science class that is taken by most engineering undergrads at Georgia Tech.  The aim of the course is to help students better understand the engineering materials that are used in the world around them.  This first section covers the fundamentals of materials science including atomic structure and bonding, crystal structure, atomic and microscopic defects, and noncrystalline materials such as glasses, rubbers, and polymers.",Civil Engineering  Chemical Engineering  Metallurgy  manufacturing process management  materials  biomaterials  Welding  process (engineering)  Mechanical Engineering  phase diagram physical-science-and-engineering mechanical-engineering
Recommender Systems Capstone,University of Minnesota,Advanced,4.1,https://www.coursera.org/learn/recommeder-systems-capstone,"This capstone project course for the Recommender Systems Specialization brings together everything you've learned about recommender systems algorithms and evaluation into a comprehensive recommender analysis and design project.  You will be given a case study to complete where you have to select and justify the design of a recommender system through analysis of recommender goals and algorithm performance.  \n\nLearners in the honors track will focus on experimental evaluation of the algorithms against medium sized datasets.  The standard track will include a mix of provided results and spreadsheet exploration.\n\nBoth groups will produce a capstone report documenting the analysis, the selected solution, and the justification for that solution.",product description  program analysis  business requirements  feature-oriented domain analysis  recommender systems  Experiment  General Statistics  empirical evidence  systems analysis  Planning data-science machine-learning
Positive Psychiatry and Mental Health,The University of Sydney,Intermediate,4.7,https://www.coursera.org/learn/positive-psychiatry,"In today�s world, mental illness and distress are common and these account for a significant burden of disability within our community. At the same time, there is a growing interest in understanding and enhancing positive mental health and wellbeing; particularly from developments in the fields of positive psychology and mental health promotion.  Positive Psychiatry is a new term (Jeste et al 2016) that describes a dual approach to mental health, where we build strengths,  supports and healthy lifestyles as well as treating illness and distress.\n \nIn this course, we will explore different aspects of good mental health as well as provide an overview of the major kinds of mental disorders, their causes, treatments and how to seek help and support.  The course will feature a large number of Australian experts in psychiatry, psychology and mental health research,  and we will also hear from �lived experience experts�, people who have lived with mental illness, and share their personal stories of recovery. \n\nWe take an evidence-based approach to a range of strategies that anyone can use to enhance their own mental health and that of others, from exercise and relaxation techniques through to the role of love, relationships and 'good' types of work. We cover topics from creativity and yoga through to psychiatric medications and psychotherapies.",Leadership and Management  Resilience  Mental Illness  psychiatry  mindfulness  stress management  positive psychology  stress  mental health  psychologies life-sciences basic-science
Finance for Non-Financial Managers,Emory University,Beginner,4.2,https://www.coursera.org/learn/finance-for-non-financial-managers,"Finance is for �Non-financial Managers� who want to understand key financial principles and apply them in a real-world context. Over the course of the program window, you will work your way through a series of nine modules that move from understanding basic financial principles to applying financial analysis and ratios to drive decisions. In addition, each module is capped with an ending self-evaluation to ensure that you have absorbed the following key learning objectives:\n\n+ Understand the language associated with finance\n+ Know how and when  to use financial terms and analysis techniques\n+ Read and assess company performance using financial statements\n+ Recognize the link between organizational strategy and financial objectives\n+ Use ""the numbers"" to your best advantage to make more informed decisions",balance sheet  income statement  income  present value  cash flow  stock  investment  Finance  net present value  financial statement business finance
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,Beginner,4.6,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,"If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.\n\nIn Course 2 of the deeplearning.ai TensorFlow Specialization, you will learn Advanced techniques to improve the computer vision model you built in Course 1. You will explore how to work with real-world images in different shapes and sizes, visualize the journey of an image through convolutions to understand how a computer �sees� information, plot loss and accuracy, and explore strategies to prevent overfitting, including augmentation and dropout. Finally, Course 2 will introduce you to transfer learning and how learned features can be extracted from models. \n\nThe Machine Learning course and Deep Learning Specialization from Andrew Ng teach the most important and foundational principles of Machine Learning and Deep Learning. This new deeplearning.ai TensorFlow Specialization teaches you how to use TensorFlow to implement those principles so that you can start building and applying scalable models to real-world problems. To develop a deeper understanding of how neural networks work, we recommend that you take the Deep Learning Specialization.",statistical classification  Artificial Neural Networks  Human Learning  image processing  Keras  Convolutional Neural Network  Computer Vision  Tensorflow  convolution  multiclass classification data-science machine-learning
Soul Beliefs: Causes and Consequences - Unit 2: Belief Systems,Rutgers the State University of New Jersey,Advanced,4.5,https://www.coursera.org/learn/soulbeliefs2,"Throughout history, the vast majority of people around the globe have believed they have, however defined, a �soul.� While the question of whether the soul exists cannot be answered by science, what we can study are the causes and consequences of various beliefs about the soul and its prospects of surviving the death of the body. Why are soul and afterlife beliefs so common in human history? Are there adaptive advantages to assuming souls exist?  Are there brain structures that have been shaped by environmental pressures that provide the foundation of body/mind dualism that is such a prominent feature of many religions? How do these beliefs shape the worldviews of different cultures and our collective lives? What is the role of competing afterlife beliefs in religion, science, politics, and war? This course explores several facets of this relatively unexplored but profoundly important aspect of human thought and behavior.\n\nThe course consists mainly of 70 to 80 minute lectures, typically broken up into 3 segments, recorded from a course offered by Rutgers University School of Arts and Sciences.  These videos include slides and some embedded video clips.  Most lectures are accompanied by slides used during the lecture, also including recommended reading assignment which may provide additional opportunities to reflect on your studies.\n\nDue to the lengthiness of this class and natural progression, the online course has been separated into 3 units, this is Unit 2.",Social Psychology  Causality  recursively enumerable set  spirituality  religion  genetics  psychology  thought  the astonishing hypothesis  belief arts-and-humanities history
Agile Projects: Creating User Stories with Value in Taiga,Coursera Project Network,Beginner,4.9,https://www.coursera.org/learn/agile-stories-mapping-taiga,"This guided project was developed to engage and harness your visionary and exploratory abilities. During this course, you will use input from previous phases of project development. Together we will identify, map, and analyse User Stories which are the components that make up the themes of the customer experience with the product and service.\n\nThis is an important step for individuals or companies wanting to map value for customer to product features in new products or services; also, for enhancing their existing offerings. By the end of this guided project, you will be fluent in identifying and creating User Stories for agile projects. \n\nWe will discuss directions for the next phase of the project development; furthermore, the learned concepts and tools will help you generate solutions for use as part of your project management solutions and in presentations to various stakeholders.",Project Management  Mapping  Leadership and Management  user story  presentation  project  customer experience  cost benefit analysis  agile management  cost business business-strategy
Social Pedagogy across Europe,Universitat Aut�noma de Barcelona,Advanced,4.6,https://www.coursera.org/learn/social-pedagogy-europe,"Social Pedagogy across Europe is the first Massive Open Online Course focused on social pedagogy � a relationship-centred approach to supporting people�s learning, well-being and social inclusion in ways that promote social justice. The course is structured in eight sessions presented over four weeks � an introductory session, six sessions outlining social pedagogy in different European countries and sharing some innovative practice insights, and a review session to support you in applying your learning. You can undertake the six country sessions in any order you would like.\n\nThrough this course, we aim to:\n1.\tGive you an insight into how social pedagogy has been developing across Europe, highlighting both the diversity and connections,\n2.\tHighlight the importance of valuing every person as intrinsically �rich�, recognising their unique potential and ability to be a valuable member of society,\n3.\tIntroduce you to ways in which you can bring this belief to life in everyday interactions and relationships that support people�s learning, nurture their well-being and enable them to feel included in society,\n4.\tEnsure you are familiar with the most fundamental aspects of social pedagogical practice in ways that are applicable in your own personal and professional life.\n\nIf you are currently working with children, young people, families, community groups, vulnerable adults or older people, then this course will be highly relevant. You will gain a panoramic overview of social pedagogy, which explores the principles and key thematic areas in ways that are practice-relevant and can be easily applied in any educational and care setting.",technical support  Planning  pedagogy  justice  Prevention Activities  Creativity  h.e.a.r.  education  prevention  social justice social-sciences education
Security and Privacy for Big Data - Part 2,EIT Digital,Intermediate,4.6,https://www.coursera.org/learn/security-privacy-big-data-protection,"This course sensitizes regarding privacy and data protection in Big Data environments. You will discover privacy preserving methodologies, as well as data protection regulations and concepts in your Big Data system. By the end of the course, you will be ready to plan your next Big Data project successfully, ensuring that all privacy and data protection related issues are under control. You will look at decent-sized big data projects with privacy-skilled eyes, being able to recognize dangers. This will allow you to improve your systems to a grown and sustainable level. \n\nIf you are an ICT professional or someone who designs and manages systems in big data environments, this course is for you! Knowledge about Big Data and IT is advantageous, but if you are e.g. a product manager just touching the surface of Big Data and privacy, this course will suit you as well.",personal advertisement  Big Data  a/rose  privacy  secure multi-party computation  information privacy  data anonymization  general data protection regulation  homomorphic encryption  security information-technology data-management
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Universit� Bocconi,Intermediate,4.6,https://www.coursera.org/learn/corp-sustainability,"The achievement of a balanced economic, social and environmental development - as expressed in the UN Agenda 2030 for Sustainable Development - is recognized as one of the major challenges humanity is facing today. What is less clear is whether and how organizations can generate business opportunities and value for their stakeholders while tackling such challenges. \nIn this course, thought leaders in a wide variety of management and economics fields illustrate how to assess and seize the opportunities offered by these global emergencies. They will offer new ways to understand the purpose and the logic of success of the business enterprise in this new context, providing ideas and examples on how to manage the transition process to realize the value creation potential from corporate sustainability for all involved stakeholders.\n\nLearning objectives\nThe course will allow you to:\n- Understand What the macroeconomic and microeconomic consequences of both climate changes, poverty, hunger, gender or race discriminations, lack of communication between the State, Civil Societies, and businesses, etc are.\n- Understand Why it is important for businesses to tackle sustainability issues in order to create more and better business opportunities;\n- Learn How each individual, organization and system can start to analyze its behaviors and change towards more sustainable practices and models.",ordered pair  sustainability  global  corporate sustainability  circular economy  Behavioral Economics  sustainable business  Leadership and Management  corporate bond  corporate social responsibility business business-strategy
Hearing Loss in Children,University of Michigan,Intermediate,4.9,https://www.coursera.org/learn/hearing-loss-in-children,"Approximately 2 to 3 out of 1000 children in the United States are born with a significant hearing loss. Early identification and intervention of hearing loss is crucial to children�s lifelong learning outcomes. It is well documented that later identification of hearing loss can lead to significant delays in children�s speech, language, literacy, social and emotional development.\n\nThis course addresses gaps currently existing in the health education curriculum for pediatric hearing loss and gives learners the foundational knowledge that can be applied immediately in a broad range of health, educational, and home settings.\n\nBenefits of the course include:\n� Basics of hearing and vestibular systems\n� Overview of early hearing screening programs\n� Clinic videos related to diagnosis, treatment & management of hearing loss in children\n� Personal interviews with children who are Deaf or Hard of Hearing\n� Overview of the public health & educational infrastructure supporting children who are Deaf or Hard of Hearing\n� Taught by multi-disciplinary pediatric experts\n� Exclusive operating room footage exploring ear anatomy and surgical ear procedures\n\nThe University of Michigan Medical School designates this enduring material for a maximum of 11.5 AMA PRA Category 1 Credit(s)�. The University of Michigan Medical School is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians.\n\nThis activity contributes to the CME component of the American Board of Pediatrics�s Maintenance of Certification Part II program. More information can be found in the course.\n\nIf you would like to earn CME/MOC credit for participating in this course, please review the information in the course prior to beginning the activity. At the end of the course you will get specific instructions on how to get your free CME.",child  physical therapy  hearing  therapy  cholesteatoma  pediatrics  inner ear  etiology  language development  hearing loss life-sciences patient-care
Scaling Operations: Linking Strategy and Execution,Northwestern University,Intermediate,4.5,https://www.coursera.org/learn/operations-strategy,"UPDATE FEBRUARY 2020: Scaling Operations: Linking Strategy and Execution will close for new learner enrollment on February 26, 2020. \n\n----\nOver the past several decades, operations strategy has played an increasingly important role in business� success. In this course, we will equip you with concepts and tools to build operations in a way that not only supports your competitive strategy, but also allows you to create new opportunities in the market place.\n\nScaling operations: Linking strategy and execution is a five-week course dedicated to making strategic decisions that are grounded in operational reality. Together, we will study how to build and evaluate the �operating system� of the firm to maximize value. This involves tailoring the firm�s operational competencies, assets, and processes to a specific business strategy.\n\nEach week, we�ll explore case studies, engage in discussions and examine realistic data. Thanks to our data-driven approach, you�ll be able to implement your learning directly into practice. At the end of this course, you�ll be ready to build an effective, actionable plan to scale your department or organization.",investment decisions  Operations Management  Strategy  Supply Chain Sourcing  process  return on capital  Scaling  value proposition  Strategic Sourcing  supply chain business business-strategy
Introduction to Human Behavioral Genetics,University of Minnesota,Beginner,4.8,https://www.coursera.org/learn/behavioralgenetics,Behavioral genetic methodologies from twin and adoption studies through DNA analysis will be described and applied to address longstanding questions about the origins of individual differences in behavioral traits.,psychology  twin  behavioural genetics  gene  psychologies  psychiatry  genetics  human behavior  behavior  mental health life-sciences psychology
Gathering and Developing the News,Michigan State University,Advanced,4.7,https://www.coursera.org/learn/gathering-the-news,"Journalists develop information through interviews and sources. The most successful journalists quickly master these important skill sets. The production of journalism relies on several elements: newsgathering, interviewing sources, researching and trying to find as much information as possible. The course will also teach you how to where to find information, interviewing skills and how to process information from various sources for publication.",news  interview  sink  network news transfer protocol  Accuracy And Precision  Social Media  Journalism  quotation  digital journalism  sources arts-and-humanities music-and-art
Healthcare Data Models,"University of California, Davis",Advanced,4.2,https://www.coursera.org/learn/healthcare-data-models,"Career prospects are bright for those qualified to work in healthcare data analytics. Perhaps you work in data analytics, but are considering a move into healthcare where your work can improve people�s quality of life. If so, this course gives you a glimpse into why this work matters, what you�d be doing in this role, and what takes place on the Path to Value where data is gathered from patients at the point of care, moves into data warehouses to be prepared for analysis, then moves along the data pipeline to be transformed into valuable insights that can save lives, reduce costs, to improve healthcare and make it more accessible and affordable. Perhaps you work in healthcare but are considering a transition into a new role. If so, this course will help you see if this career path is one you want to pursue. You�ll get an overview of common data models and their uses. You�ll learn how various systems integrate data, how to ensure clear communication, measure and improve data quality. Data analytics in healthcare serves doctors, clinicians, patients, care providers, and those who carry out the business of improving health outcomes. This course of study will give you a clear picture of data analysis in today�s fast-changing healthcare field and the opportunities it holds for you.",relational model  approximation error  health informatics  health data  data quality  Data Analysis  health care analytics  modeling  Data Model  Type I And Type Ii Errors life-sciences health-informatics
Biohacking Your Brain's Health,Emory University,Beginner,4.7,https://www.coursera.org/learn/biohacking-your-brains-health,"With deteriorating health, particularly brain health, occurring at a global level, this course introduces you to methods for maximizing your brain's fitness through nutrition, exercise, meditation, and sleep. We'll debunk popular myths about prescribed practices for overall health and then uncover studies from the last few decades revealing practical routines and interventions that are proven to help improve the brain. You'll also get a glimpse at the brain's structure and common brain functions, as well as a ""prescription"" each week of tips for improving your brain's health.",ketogenic diet  sleep (system call)  intermittent fasting  neuroscience  nutrition  exercise  sleep  mental health  meditation  mindfulness life-sciences basic-science
Cybersecurity and the X-Factor,University System of Georgia,Intermediate,4.6,https://www.coursera.org/learn/cybersecurity-and-x-factor,"What is the X-Factor? In Cybersecurity, the X-Factor related to unknown and unpredictable human behavior within and outside of your organization. �No one really knows why humans do what they do�, (David K. Reynolds), and because of this organizations can be unprepared for malicious, untrained, or even best intentioned behavior that can cause alarm and sometimes irreparable harm.  \n\nThis course will introduce you to the types of training available to reduce the impact of the X-Factor, evaluate its effectiveness, explore the Security Education, Training and Awareness (SETA) program, and learn why it may fail. The course will conclude with information designed to assist you with some critical components for your business security program. Activities focused on hactivism, cyberinsurance, and ransomware will round out your knowledge base.  Your team of instructors has prepared a series of readings, discussions, guest lectures, and quizzes to engage you in this exciting topic.",awareness  security management  human behavior  information security  security  behavior  breach (security exploit)  seta  Training  ransomware computer-science computer-security-and-networks
"Nanotechnology and Nanosensors, Part1",Technion - Israel Institute of Technology,Intermediate,4.3,https://www.coursera.org/learn/nanotechnology1,"Nanotechnology and nanosensors are broad, interdisciplinary areas that encompass (bio)chemistry, physics, biology, materials science, electrical engineering and more. The present course will provide a survey on some of the fundamental principles behind nanotechnology and nanomaterials and their vital role in novel sensing properties and applications. The course will discuss interesting interdisciplinary scientific and engineering knowledge at the nanoscale to understand fundamental physical differences at the nanosensors. By the end of the course, students will understand the fabrication, characterization, and manipulation of nanomaterials, nanosensors, and how they can be exploited for new applications. Also, students will apply their knowledge of nanotechnology and nanosensors to a topic of personal interest in this course.\n\n----------------\nCOURSE OBJECTIVES\nThe course main objective is to enhance critical, creative, and innovative thinking. The course encourages multicultural group work, constructing international 'thinking tanks' for the creation of new ideas. Throughout the course, you will be asked to reflect upon your learning, think ""out of the box"", and suggest creative ideas.   \n\nThe course is set to encourage the understanding of:\n1. The importance of nanoscale materials for sensing applications.\n2. Approaches used for characterizing sensors based nanomaterials.\n3. Approaches used for tailoring nanomaterials for a specific sensing application.\n4. Metallic and semiconductor nanoparticles.\n5. Organic and inorganic nanotubes and nanowires.\n6. Optical, mechanical and chemical sensors based on nanomaterials.\n7. Hybrid nanomaterial-based sensors.\n\n----------------\nWe recommend that you read the following supplementary reading materials:\n-Ji?� Janata, Principles of Chemical Sensors, Springer, 2d Edition (1989).\n-Roger George Jackson, Novel Sensors and Sensing, CRC Press (2004).\n_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _\n\nTeaching Team\n\nAbout Professor Haick Hossam\n\nProfessor Hossam Haick is an expert in the field of nanotechnology, nanosensors, and non-invasive disease diagnosis. Prof. Haick is the recipient of the prestigious Marie Curie Excellence Award, ERC Award, and the FP-7 Health Award. He is also the recipient of more than 42 international honors and prizes for his achievements, including a Knight of the Order of Academic Palms (conferred by the French Government) and the �List of the World�s Top 35 Young Scientists�, and the Discovery Award of the Bill & Melinda Gates. Prof. Haick is the founder and the leader of a European consortium of eight universities and companies for the development of Advanced generation of nanosensors for disease diagnosis. He also serves as an associate editor of the two journals and serves as an advisory consultant to the Chemical Abstracts Service (CAS) � the world's authority for chemical information - a senior scientific advisory member of several national and international companies and institutes, and as a scientific evaluator in the European Commission.\nEmail: hhossam@technion.ac.il  \n_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ \n\nCourse Staff\n\nMeital Bar-Segev, Teaching Assistant: Received her B.A. (Cum Laude) in Chemistry and B.Sc (Cum Laude) in Materials Engineering from the Technion � Israel Institute of Technology (both in 2010). During her studies, she worked in a student position at Tower Semiconductors Ltd. After graduation she worked at Alfred Mann Institute in the Technion (AMIT) as a process development engineer. Currently, she performs her Ph.D. degree (direct track) in the Russell Berrie Nanotechnology Institute (RBNI) of the Technion under the supervision of Prof. Hossam Haick. The research of Meital focuses is the development of electronic skin based on nanoparticles.\n\nAbeer Watted, Teaching Assistant: Received her B.Sc. and M.Sc. in Transportation and Highways Engineering from the Technion.  She is a Ph.D. student at the Faculty of Education in Science and Technology at the Technion, under the supervision of Asst. Prof. Miri Barak. She received a second master degree in Educatu in Science and Technology from the Technion in 2013. Her research focuses on science education and inquiry-based laboratories. Currently, Abeer works as a lecturer at Al-Qasemi Academic College of Education, where she serves also as the head of Civil Engineering Department.\n\nMaya Usher, Teaching Assistant: Received her B.A. and M.A. (Cum Laude) in Communication Studies from Sapir Academic College and Ben Gurion University- Israel (2009; 2013 respectively). Currently, Maya is a PhD. candidate at the Faculty of Education in Science and Technology at the Technion, under the supervision of Asst. Prof. Miri Barak. Her research focuses on examining online collaborative learning in small multicultural groups. \n\nMuhammad Khatib, Teaching Assistant: Received his B.Sc in Biochemical Engineering from the Technion � Israel Institute of Technology (2015). His final research project, conducted with Prof. Avi Schroeder, dealt with harnessing liposome-based drug delivery systems to applications in precise agriculture. Currently, he performs his Ph.D. (special track) in the Department of Chemical Engineering of the Technion under the supervision of Prof. Hossam Haick, and his research focuses on self-healing devices for monitoring infectious diseases.\n\nMiri Barak, Pedagogical Advisor: Assistant Professor at the Faculty of Education in Science and Technology, Technion- Israel Institute of Technology. She is the Head of the Science and Learning Technologies group and the advisor of graduate students. Her academic activities focus on developing, integrating, and evaluating science education curricula at school and higher education levels. Her studies involve the use of information and communication technologies (ICT), with emphasis on emerging web-2.0 and cloud applications, to foster meaningful learning and high-order thinking.",Chemical Engineering  nanosensor  Civil Engineering  Aerospace Engineering  nanoparticle  physics  chemistry  Mechanical Engineering  nanoparticles  Nanotechnology physical-science-and-engineering chemistry
"Capstone MOOC for ""Android App Development""",Vanderbilt University,Advanced,2.9,https://www.coursera.org/learn/aadcapstone,"The Capstone project integrates material from throughout the Android App Development Specialization to exercise and assess the ability of learners to create an interesting Android app. Learners will apply knowledge and skills learned in previous MOOCs in this Specialization, including Java programming features; Android activity, broadcast receiver, service, and content provider (plus SQLite) components; and unit, integration, and user interface testing. The project itself is similar in scope to previous assignments in the earlier MOOCs in the Specialization.  However, it is intentionally designed to enable learners to create a customized app that demonstrates their creativity and mastery of the Specialization topics.",stack (abstract data type)  Mobile Development  Software Engineering  Android Development  android studio  Computer Programming  Mechanical Engineering  Java Programming  Operating Systems  electronics computer-science mobile-and-web-development
Meeting Investors' Goals,University of Geneva,Intermediate,4.7,https://www.coursera.org/learn/meeting-investors-goals,"In this course, you will dive into the concepts of rationality and irrationality and understand how they impact our investment decisions and what the consequences can be at the market level.\n\nYou will first explore the different biases that we, as humans, are subjected to when facing investment decisions and how they may impact the outcomes of these decisions. Moreover, you will see how emotions and ethical concerns such as honesty and trust influence market participants. When they are considered as a group rather than individually, you will discover how rationality and irrationality can drive asset prices to and away from their fair value. Finally, you will be presented with different portfolio construction methodologies and investment styles that make up the landscape of today's portfolio management industry. \n\nAt key points throughout the course, you will benefit from the practical knowledge of experts from our corporate partner, UBS, in how to build and manage clients' portfolios.",Finance  cognitive bias  Leadership and Management  investment style  investment  market (economics)  Portfolio Construction  bias  Strategy  investment strategy business finance
Digital Media and Marketing Principles,University of Illinois at Urbana-Champaign,Advanced,4.2,https://www.coursera.org/learn/marketing-channels,"The digital revolution has led to a titanic shift in the landscape of the marketing communication, while also creating new opportunities for businesses to reach and engage consumers through smart, social, and mobile media technologies. In this course, you will learn about the impacts of digital technologies on marketing communication strategies and practices. By understanding the underlying processes of marketing communication and the core features of new media technologies, you can strategically select the appropriate channels to deliver the right marketing message to the right audience at the right moment.",Marketing  mobile marketing  Strategy  marketing channel  market (economics)  Digital Marketing  digital media  media market  Social Media  social media marketing business marketing
Digital Signal Processing 4: Applications,�cole Polytechnique F�d�rale de Lausanne,Advanced,5,https://www.coursera.org/learn/dsp4,"Digital Signal Processing is the branch of engineering that, in the space of just a few decades, has enabled unprecedented levels of interpersonal communication and of on-demand entertainment. By reworking the principles of electronics, telecommunication and computer science into a unifying paradigm, DSP is a the heart of the digital revolution that brought us CDs, DVDs, MP3 players, mobile phones and countless other devices. \n\nThe goal, for students of this course, will be to learn the fundamentals of Digital Signal Processing from the ground up. Starting from the basic definition of a discrete-time signal, we will work our way through Fourier analysis, filter design, sampling, interpolation and quantization to build a DSP toolset complete enough to analyze a practical communication system in detail. Hands-on examples and demonstration will be routinely used to close the gap between theory and practice.\n\nTo make the best of this class, it is recommended that you are proficient in basic calculus and linear algebra; several programming examples will be provided in the form of Python notebooks but you can use your favorite programming language to test the algorithms described in the course.",digital signal processing  image processing  modems  electronics  signal processing  Algorithms  satellite digital imaging system  data transmission  microcontroller  image compression physical-science-and-engineering electrical-engineering
Introduction to solar cells,Technical University of Denmark (DTU),Beginner,4.8,https://www.coursera.org/learn/solar-cells,"How do solar cells work, why do we need, and how can we measure their efficiency? These are just some of the questions Introduction to solar cells tackles. Whether you are looking for general insight in this green technology or your ambition is to pursue a career in solar, �Introduction to Solar Cells� is an excellent starting point.\n\nThe course is a tour through the fundamental disciplines including solar cell history, why we need solar energy, how solar cells produce power, and how they work. During the course we cover mono- and multi-crystalline solar cells, thin film solar cells, and new emerging technologies. The course includes hands-on exercises using virtual instruments, interviews with field experts, and a comprehensive collection of material on solar cells.\n\nAt the end of the course you will have gained a fundamental understanding of the field. This will allow you to identify the most interesting or relevant aspects to be pursued in your future studies or in your professional career.",Solar Technology  manufacturing process management  materials  Solar Systems  Energy Solutions  Solar Energy  Solar Cell Manufacturing  energy  renewable energy  Energy Consumption physical-science-and-engineering environmental-science-and-sustainability
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,Beginner,4.8,https://www.coursera.org/learn/manage-health-covid-19,"Never in the history of humanity have so many people been feeling intense anxiety related to COVID-19 and the world it will leave in its wake.  The intent of this course is to give you a deeper understanding of the anxiety reaction as it relates to various aspects of our current life, ranging from our consumption of news to the way we talk to our children about this.  I will also give you clear strategies for managing and, in fact, turning off the anxiety response at least for short periods.  My sincere hope is that you will leave this course with a better understanding of how your brain reacts to crises, along with some powerful tools for managing it before it manages you.\n\nIn this course we will cover:\n\n1.1  Introduction and Overview\n1.2 Understanding the Anxiety Response\n1.3 The Necessity of Strategies to Manage Anxiety\n1.4 Achieving Relaxation: A Skill We All Need to Learn Now\n\n2.1 Why Watching the News is Addicting and How to Manage Your Consumption\n2.2 The Critical Art of Mental Distraction to Crowd Out Stressors\n2.3 How We Think About Physical Distancing and Explaining it to Our Children\n\n3.1 The Effects of Isolation\n3.2 Some Strategies to Make Isolation More Tolerable\n3.3 The Importance of Social Connection in a Physical Distancing World\n\n4.1 The Need to Guard Against Depression: The Importance of Control\n4.2 Bring it Together: Practice Makes Proficient\n4.3 Invitation to Suggest Additional Videos",pandemics  mind control  meditation  anxiety  mental health  control (management)  stress  Leadership and Management  psychologies  stress management life-sciences psychology
Getting Started with AWS Machine Learning,Amazon Web Services,Beginner,4.4,https://www.coursera.org/learn/aws-machine-learning,"Machine learning (ML) is one of the fastest growing areas in technology and a highly sought after skillset in today�s job market. The World Economic Forum states the growth of artificial intelligence (AI) could create 58 million net new jobs in the next few years, yet it�s estimated that currently there are 300,000 AI engineers worldwide, but millions are needed. This means there is a unique and immediate opportunity for you to get started with learning the essential ML concepts that are used to build AI applications � no matter what your skill levels are. Learning the foundations of ML now, will help you keep pace with this growth, expand your skills and even help advance your career. \n\nThis course will teach you how to get started with AWS Machine Learning. Key topics include: Machine Learning on AWS, Computer Vision on AWS, and Natural Language Processing (NLP) on AWS. Each topic consists of several modules deep-diving into variety of ML concepts, AWS services as well as insights from experts to put the concepts into practice.",Natural Language Processing  Machine Learning  Human Learning  Computer Vision  Amazon Web Services  Machine Learning Algorithms  web  Algorithms  Deep Learning  web service data-science machine-learning
